Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,MVP
233,?arūnas Mar?iulionis*,SG,32,DEN,17,0,15,2.2,5.9,0.376,0.6,1.8,0.367,1.6,4.2,0.38,0.431,1.7,2.1,0.806,0.7,1.1,1.8,1.5,0.7,0.1,2.4,2.2,6.8,1996-97,FALSE
234,Donny Marshall,SF,24,CLE,56,0,9.8,0.9,2.9,0.325,0.6,1.6,0.379,0.3,1.3,0.26,0.428,0.7,1,0.704,0.4,0.9,1.3,0.4,0.4,0.1,0.6,1.1,3.1,1996-97,FALSE
235,Donyell Marshall,SF,23,GSW,61,20,16.8,2.9,6.9,0.413,0.6,1.8,0.315,2.3,5.1,0.448,0.455,1,1.6,0.622,1.5,3,4.5,0.9,0.4,0.8,0.9,1.6,7.3,1996-97,FALSE
236,Cuonzo Martin,SG,25,MIL,3,0,4.3,0,2.3,0,0,0.7,0,0,1.7,0,0,0,0,,0.3,0,0.3,0.3,0,0,0.3,0.3,0,1996-97,FALSE
237,Darrick Martin,PG,25,LAC,82,64,22.2,3.6,8.8,0.407,1.1,2.9,0.389,2.5,5.9,0.415,0.47,2.7,3,0.872,0.3,1.1,1.4,4.1,0.7,0,1.5,2,10.9,1996-97,FALSE
238,Jamal Mashburn,SF,24,TOT,69,51,31.4,4.1,10.8,0.385,1.3,4,0.325,2.8,6.8,0.421,0.445,2.3,3.3,0.702,1,3.3,4.3,3,1.1,0.2,1.7,2.7,11.9,1996-97,FALSE
238,Jamal Mashburn,SF,24,DAL,37,21,26.4,3.8,10.2,0.372,1.1,3.5,0.321,2.6,6.6,0.4,0.428,1.9,3,0.649,0.8,2.4,3.1,2.5,0.9,0.1,1.5,1.9,10.6,1996-97,FALSE
238,Jamal Mashburn,SF,24,MIA,32,30,37.2,4.6,11.5,0.398,1.5,4.6,0.329,3.1,6.9,0.443,0.463,2.8,3.7,0.752,1.3,4.3,5.6,3.5,1.3,0.2,1.8,3.7,13.4,1996-97,FALSE
239,Anthony Mason,PF,30,CHH,73,73,43.1,5.9,11.3,0.525,0,0,0.333,5.9,11.3,0.526,0.525,4.4,5.9,0.745,2.5,8.8,11.4,5.7,1,0.5,2.3,2.8,16.2,1996-97,FALSE
240,Tony Massenburg,PF,29,NJN,79,49,24.7,2.8,5.7,0.485,0,0,0,2.8,5.7,0.486,0.485,1.6,2.6,0.631,2.8,3.7,6.5,0.3,0.5,0.6,1.2,2.7,7.2,1996-97,FALSE
241,Vernon Maxwell,SG,31,SAS,72,31,28.7,4.7,12.6,0.375,1.6,5.2,0.309,3.1,7.4,0.421,0.439,1.9,2.5,0.744,0.4,1.8,2.2,2.1,1.2,0.3,1.7,2.3,12.9,1996-97,FALSE
242,Lee Mayberry,PG,26,VAN,80,38,24.4,1.9,4.6,0.403,1,2.8,0.376,0.8,1.9,0.443,0.515,0.4,0.6,0.63,0.4,1.3,1.7,4.1,0.8,0.1,1.1,2,5.1,1996-97,FALSE
